0	0.2325
1	0.27
2	0.3375
3	0.4125
4	0.39
5	0.44
6	0.44
7	0.39
8	0.34
9	0.4025
10	0.4025
11	0.3825
12	0.37
13	0.47
14	0.4625
15	0.585
16	0.48
17	0.4975
18	0.485
19	0.5025
20	0.46
21	0.555
22	0.53
23	0.675
24	0.715
25	0.63
26	0.6125
27	0.6875
28	0.6825
29	0.66
30	0.77
31	0.7875
32	0.63
33	0.685
34	0.725
35	0.705
36	0.5925
37	0.7625
38	0.7525
39	0.72
40	0.78
41	0.65
42	0.4975
43	0.67
44	0.74
45	0.7875
46	0.81
47	0.7025
48	0.9425
49	0.735
50	0.6625
51	0.6875
52	0.7575
53	0.625
54	0.8525
55	0.79
56	0.8875
57	0.68
58	0.635
59	0.66
60	0.6175
61	0.8625
62	0.8625
63	0.7025
64	0.8575
65	0.7575
66	0.725
67	0.715
68	0.7075
69	0.735
70	0.895
71	0.8375
72	0.595
73	0.8175
74	0.885
75	0.895
76	0.7475
77	0.7125
78	0.8475
79	0.91
80	0.785
81	0.765
82	0.9625
83	0.67
84	0.5925
85	0.635
86	0.8925
87	0.84
88	0.89
89	0.81
90	0.7725
91	0.7375
92	0.6875
93	0.815
94	0.7525
95	0.875
96	0.8025
97	0.8425
98	0.585
99	0.7325
